Abasto,Cultura,E_basica,E_media,E_superior,Empleo,Espacio_ab,Est_Tpte,Pob_2010,Salud_cama,Salud_cons,cve_ent,cve_mun,cve_sun,cvegeo,gmu,iisu_cd,iisu_sun,sun
61.0,0.0,0.0,1.0,0.0,677.0,0.0,0.0,36,0.0,4.0,03,003,M03.01,0300300013458019,bajo,Alto,Alto,La Paz
94.0,0.0,1.0,1.0,0.0,814.0,313.0,0.0,65,0.0,4.0,03,003,M03.01,0300300013458013,bajo,Alto,Alto,La Paz
61.0,0.0,0.0,1.0,0.0,677.0,0.0,0.0,26,0.0,4.0,03,003,M03.01,0300300013458026,bajo,Alto,Alto,La Paz
94.0,0.0,1.0,1.0,0.0,814.0,313.0,0.0,43,0.0,4.0,03,003,M03.01,0300300013458011,bajo,Alto,Alto,La Paz
61.0,0.0,0.0,1.0,0.0,677.0,0.0,0.0,46,0.0,4.0,03,003,M03.01,0300300013458023,bajo,Alto,Alto,La Paz
94.0,0.0,1.0,1.0,0.0,814.0,313.0,0.0,90,0.0,4.0,03,003,M03.01,0300300013458002,bajo,Alto,Alto,La Paz
94.0,0.0,1.0,1.0,0.0,814.0,313.0,0.0,34,0.0,4.0,03,003,M03.01,0300300013458009,bajo,Alto,Alto,La Paz
34.0,0.0,2.0,1.0,0.0,146.0,0.0,0.0,39,0.0,1.0,03,003,M03.01,0300300013890023,muy alto,Bajo,Muy Bajo,La Paz
34.0,0.0,2.0,1.0,0.0,146.0,0.0,0.0,42,0.0,1.0,03,003,M03.01,0300300013903020,alto,Intermedio,Bajo,La Paz
34.0,0.0,2.0,1.0,0.0,146.0,0.0,0.0,29,0.0,1.0,03,003,M03.01,0300300013903014,alto,Intermedio,Bajo,La Paz
21.0,0.0,2.0,1.0,0.0,95.0,0.0,0.0,16,0.0,1.0,03,003,M03.01,0300300013903013,alto,Intermedio,Bajo,La Paz
21.0,0.0,2.0,1.0,0.0,95.0,0.0,0.0,24,0.0,1.0,03,003,M03.01,0300300013903012,alto,Intermedio,Bajo,La Paz
56.0,0.0,0.0,0.0,0.0,811.0,0.0,0.0,115,0.0,3.0,03,003,M03.01,0300300013439026,medio,Alto,Intermedio,La Paz
